cell_id,model,n_max,prompt,workload,penalty,chain,n_runs,cv_flags,draft_n_accepted_cv_pct,draft_n_accepted_iqr,draft_n_accepted_mean,draft_n_accepted_median,draft_n_accepted_stdev,draft_n_cv_pct,draft_n_iqr,draft_n_mean,draft_n_median,draft_n_stdev,mtp_pct_cv_pct,mtp_pct_iqr,mtp_pct_mean,mtp_pct_median,mtp_pct_stdev,predicted_tps_cv_pct,predicted_tps_iqr,predicted_tps_mean,predicted_tps_median,predicted_tps_stdev,prompt_tps_cv_pct,prompt_tps_iqr,prompt_tps_mean,prompt_tps_median,prompt_tps_stdev,source_csv,temp_max_c_cv_pct,temp_max_c_iqr,temp_max_c_mean,temp_max_c_median,temp_max_c_stdev,vram_peak_gb_cv_pct,vram_peak_gb_iqr,vram_peak_gb_mean,vram_peak_gb_median,vram_peak_gb_stdev
wave1-moe-n1-medium-p15,moe,1,medium,,,,4,draft_n=12.3%;draft_n_accepted=18.1%;mtp_pct=5.3%,18.09,17.75,69.25,71.5,12.527,12.27,21.25,106.75,106.0,13.099,5.27,1.225,39.025,39.75,2.056,3.06,1.458,58.527,58.973,1.788,0.83,0.567,98.53,98.801,0.814,wave1-nmax-20260526-155640.csv,1.12,0.5,73.0,73.0,0.816,0.0,0.0,32.7,32.7,0.0
wave1-moe-n16-long-p15,moe,16,long,,,,4,,1.53,5.0,239.0,239.0,3.651,2.23,54.0,2515.5,2514.5,56.217,1.53,1.25,59.75,59.7,0.915,2.31,0.349,14.866,14.836,0.344,1.18,0.99,64.153,64.117,0.754,wave1-nmax-20260526-155640.csv,0.6,0.25,83.75,84.0,0.5,0.02,0.01,33.625,33.625,0.006
wave1-moe-n16-medium-p15,moe,16,medium,,,,4,predicted_tps=6.5%;draft_n=22.7%;draft_n_accepted=13.2%;mtp_pct=6.0%,13.22,17.5,119.5,118.5,15.801,22.67,352.0,1488.0,1544.0,337.394,6.05,2.625,57.175,56.05,3.459,6.55,0.494,13.716,13.353,0.898,0.71,0.741,66.246,66.293,0.468,wave1-nmax-20260526-155640.csv,1.85,0.75,81.25,82.0,1.5,0.0,0.0,33.62,33.62,0.0
wave1-moe-n2-long-p15,moe,2,long,,,,4,,3.6,6.75,210.75,209.5,7.588,4.16,13.0,375.5,378.5,15.631,3.59,1.725,52.675,52.4,1.893,3.82,2.028,57.882,57.499,2.212,1.49,1.507,89.03,88.951,1.329,wave1-nmax-20260526-155640.csv,0.0,0.0,76.0,76.0,0.0,0.0,0.0,32.77,32.77,0.0
wave1-moe-n2-medium-p15,moe,2,medium,,,,4,draft_n=30.0%;draft_n_accepted=35.8%,35.76,21.75,102.25,85.0,36.564,30.02,42.5,190.5,171.0,57.187,4.75,2.625,51.375,52.05,2.439,4.08,2.165,57.528,58.195,2.345,2.17,1.682,93.431,94.155,2.03,wave1-nmax-20260526-155640.csv,1.76,1.5,73.5,73.5,1.291,0.0,0.0,32.76,32.76,0.0
wave1-moe-n3-long-p15,moe,3,long,,,,4,,0.85,1.75,223.25,222.5,1.893,1.25,4.5,525.5,527.5,6.557,0.84,0.475,55.825,55.65,0.472,1.24,0.356,51.648,51.352,0.64,0.64,0.889,86.672,86.65,0.559,wave1-nmax-20260526-155640.csv,0.0,0.0,78.0,78.0,0.0,0.0,0.0,32.83,32.83,0.0
wave1-moe-n3-medium-p15,moe,3,medium,,,,4,predicted_tps=5.0%;draft_n=13.2%;draft_n_accepted=8.6%,8.55,5.0,88.0,90.5,7.528,13.24,19.5,214.5,211.5,28.408,4.44,1.95,55.5,56.15,2.462,5.03,1.492,51.478,52.343,2.59,0.63,0.375,90.52,90.508,0.572,wave1-nmax-20260526-155640.csv,1.3,1.25,73.75,73.5,0.957,0.0,0.0,32.83,32.83,0.0
wave1-moe-n4-long-p15,moe,4,long,,,,4,predicted_tps=5.0%;draft_n=6.1%,4.96,8.0,212.5,208.5,10.536,6.12,72.5,720.5,718.5,44.125,4.38,2.825,53.925,53.5,2.364,5.03,2.355,42.971,42.499,2.163,1.17,1.047,84.378,84.082,0.984,wave1-nmax-20260526-155640.csv,0.0,0.0,79.0,79.0,0.0,0.0,0.0,32.89,32.89,0.0
wave1-moe-n4-medium-p15,moe,4,medium,,,,4,draft_n=32.5%;draft_n_accepted=25.6%;mtp_pct=5.5%,25.58,18.5,94.5,103.5,24.173,32.54,102.0,302.0,332.0,98.279,5.53,3.75,56.55,56.5,3.126,4.49,2.276,45.332,45.575,2.037,0.31,0.278,88.667,88.746,0.277,wave1-nmax-20260526-155640.csv,1.52,2.0,76.0,76.0,1.155,0.0,0.0,32.89,32.89,0.0
wave1-moe-n6-long-p15,moe,6,long,,,,4,draft_n=21.7%;draft_n_accepted=16.7%,16.66,43.25,197.75,204.0,32.938,21.68,185.25,904.75,969.5,196.118,4.73,2.675,56.875,56.0,2.692,4.34,1.621,35.855,35.479,1.557,0.58,0.408,80.028,79.982,0.462,wave1-nmax-20260526-155640.csv,1.02,0.5,80.0,80.0,0.816,0.0,0.0,33.01,33.01,0.0
wave1-moe-n6-medium-p15,moe,6,medium,,,,4,predicted_tps=5.7%;draft_n=40.7%;draft_n_accepted=33.6%;mtp_pct=6.8%,33.64,19.75,100.75,116.5,33.896,40.72,139.5,529.5,585.0,215.632,6.83,3.325,55.075,55.2,3.762,5.7,1.982,33.745,34.224,1.925,1.54,1.861,83.313,83.436,1.284,wave1-nmax-20260526-155640.csv,0.74,1.0,77.5,77.5,0.577,0.0,0.0,33.01,33.01,0.0
wave1-moe-n8-long-p15,moe,8,long,,,,4,predicted_tps=5.9%;draft_n=5.8%,3.86,6.75,243.25,240.0,9.394,5.79,46.0,1235.0,1260.0,71.489,3.82,1.6,60.8,60.0,2.321,5.95,0.929,23.686,23.217,1.408,0.54,0.55,76.117,76.092,0.41,wave1-nmax-20260526-155640.csv,1.01,0.5,81.0,81.0,0.816,0.0,0.0,33.13,33.13,0.0
wave1-moe-n8-medium-p15,moe,8,medium,,,,4,predicted_tps=5.1%;draft_n=26.0%;draft_n_accepted=24.4%,24.41,15.0,105.5,117.0,25.749,25.97,126.0,630.0,668.0,163.609,3.99,2.475,57.825,57.55,2.31,5.11,0.726,21.804,21.915,1.114,0.64,0.563,78.461,78.333,0.501,wave1-nmax-20260526-155640.csv,1.22,1.25,78.75,78.5,0.957,0.0,0.0,33.13,33.13,0.0
wave2-dense-n3-wlcode,dense,3,,code,,,4,,2.02,4.75,274.75,276.0,5.56,4.32,14.5,371.5,367.5,16.052,1.98,1.1,68.7,69.0,1.361,4.31,0.886,23.449,23.654,1.01,0.16,0.059,29.568,29.577,0.048,wave2-workload-20260526-170826.csv,0.6,0.25,83.25,83.0,0.5,0.0,0.0,28.14,28.14,0.0
wave2-dense-n3-wlcreative,dense,3,,creative,,,4,,2.76,3.75,221.75,222.0,6.131,3.56,11.5,527.0,527.0,18.779,2.73,0.925,55.425,55.5,1.513,3.66,0.436,16.445,16.454,0.602,0.25,0.06,29.389,29.411,0.073,wave2-workload-20260526-170826.csv,0.0,0.0,85.0,85.0,0.0,0.0,0.0,28.14,28.14,0.0
wave2-dense-n3-wldialog,dense,3,,dialog,,,4,,2.83,4.75,220.75,218.0,6.238,3.39,15.5,533.5,541.0,18.065,2.86,1.275,55.175,54.5,1.576,3.7,0.461,16.377,16.133,0.606,0.22,0.09,29.6,29.608,0.064,wave2-workload-20260526-170826.csv,0.68,1.0,84.5,84.5,0.577,0.0,0.0,28.14,28.14,0.0
wave2-dense-n3-wlstructured,dense,3,,structured,,,4,,3.04,8.25,233.25,231.0,7.089,4.24,22.5,494.5,501.5,20.984,3.08,2.075,58.325,57.75,1.795,4.38,0.865,17.657,17.399,0.773,0.2,0.063,29.675,29.662,0.06,wave2-workload-20260526-170826.csv,0.6,0.25,83.75,84.0,0.5,0.0,0.0,28.14,28.14,0.0
wave2-dense-n3-wltechnical,dense,3,,technical,,,4,,3.52,9.5,219.0,220.5,7.703,4.54,29.5,537.0,533.5,24.372,3.57,2.425,54.725,55.1,1.952,4.24,0.857,16.245,16.362,0.688,0.36,0.176,29.72,29.713,0.108,wave2-workload-20260526-170826.csv,0.68,1.0,85.5,85.5,0.577,0.0,0.0,28.14,28.14,0.0
wave2-moe-n2-wlcode,moe,2,,code,,,4,,2.59,4.0,245.5,248.5,6.351,4.05,6.5,305.5,300.0,12.369,2.62,1.05,61.4,62.15,1.606,3.53,1.523,71.305,72.359,2.515,0.77,1.202,95.09,95.064,0.73,wave2-workload-20260526-170826.csv,0.76,1.0,75.5,75.5,0.577,0.0,0.0,32.77,32.77,0.0
wave2-moe-n2-wlcreative,moe,2,,creative,,,4,,4.57,12.0,205.5,204.5,9.399,4.87,22.75,385.75,387.0,18.786,4.52,2.95,51.35,51.1,2.323,4.63,3.331,57.78,57.413,2.673,0.88,0.849,92.805,92.598,0.816,wave2-workload-20260526-170826.csv,1.26,1.25,75.75,75.5,0.957,0.0,0.0,32.77,32.77,0.0
wave2-moe-n2-wldialog,moe,2,,dialog,,,4,,1.96,5.75,196.75,196.5,3.862,1.87,10.75,402.75,403.5,7.544,1.98,1.475,49.175,49.15,0.974,1.75,1.494,55.01,54.916,0.96,0.47,0.359,93.386,93.321,0.437,wave2-workload-20260526-170826.csv,0.76,1.0,75.5,75.5,0.577,0.0,0.0,32.77,32.77,0.0
wave2-moe-n2-wlstructured,moe,2,,structured,,,4,,3.95,9.25,212.25,214.0,8.382,4.44,18.5,372.5,370.0,16.523,3.97,2.25,53.05,53.5,2.106,3.98,2.595,59.559,59.938,2.369,1.26,1.325,93.987,94.056,1.186,wave2-workload-20260526-170826.csv,0.66,0.25,75.75,76.0,0.5,0.0,0.0,32.77,32.77,0.0
wave2-moe-n2-wltechnical,moe,2,,technical,,,4,,4.37,13.75,192.75,192.5,8.421,4.04,26.75,410.75,411.5,16.601,4.39,3.475,48.175,48.15,2.117,3.87,3.384,53.993,53.971,2.091,1.0,1.018,93.596,93.754,0.94,wave2-workload-20260526-170826.csv,0.0,0.0,76.0,76.0,0.0,0.0,0.0,32.77,32.77,0.0
wave3-dense-n3-p00,dense,3,medium,,0.0,,4,predicted_tps=5.5%;draft_n_accepted=10.6%,10.63,13.75,113.25,112.5,12.038,3.65,9.75,254.25,252.0,9.287,3.89,1.525,57.225,56.65,2.228,5.49,0.615,17.086,17.028,0.937,0.34,0.063,29.847,29.855,0.102,wave3-sampler-20260526-172734.csv,1.19,1.25,80.25,80.5,0.957,0.0,0.0,28.14,28.14,0.0
wave3-dense-n3-p15,dense,3,medium,,1.5,,4,predicted_tps=6.0%;draft_n=29.3%;draft_n_accepted=39.9%;mtp_pct=6.3%,39.87,57.25,116.75,113.5,46.55,29.3,91.5,295.5,303.0,86.585,6.27,4.275,53.425,53.1,3.35,6.01,1.237,15.835,15.812,0.952,0.55,0.163,29.723,29.716,0.165,wave3-sampler-20260526-172734.csv,1.52,0.75,82.75,83.0,1.258,0.0,0.0,28.14,28.14,0.0
wave3-moe-n2-p00,moe,2,medium,,0.0,,4,draft_n=33.1%;draft_n_accepted=35.2%,35.15,31.25,78.75,72.5,27.681,33.08,60.0,163.0,159.0,53.926,4.47,3.0,49.1,49.2,2.194,2.69,2.217,56.392,56.646,1.518,0.98,0.84,95.428,95.393,0.933,wave3-sampler-20260526-172734.csv,2.03,2.25,73.75,74.0,1.5,0.0,0.0,32.76,32.76,0.0
wave3-moe-n2-p15,moe,2,medium,,1.5,,4,draft_n=20.9%;draft_n_accepted=21.5%,21.52,23.5,91.0,86.5,19.579,20.87,41.0,186.0,175.0,38.816,2.65,1.55,49.45,49.75,1.313,2.14,1.093,55.05,55.514,1.177,0.78,1.052,94.084,94.121,0.733,wave3-sampler-20260526-172734.csv,1.76,1.5,73.5,73.5,1.291,0.0,0.0,32.76,32.76,0.0
wave4-dense-mtp,dense,3,medium,,,mtp,4,predicted_tps=5.7%;draft_n=24.8%;draft_n_accepted=31.0%,31.05,63.5,121.0,121.0,37.568,24.76,108.75,306.75,292.5,75.949,4.72,2.6,54.0,53.2,2.551,5.66,0.781,15.816,15.604,0.896,0.39,0.117,29.667,29.635,0.116,wave4-chaining-20260526-173208.csv,1.18,1.25,81.25,81.5,0.957,0.0,0.0,28.14,28.14,0.0
wave4-dense-mtp-ng,dense,3,medium,,,mtp-ng,4,predicted_tps=5.5%;draft_n=27.0%;draft_n_accepted=30.3%;mtp_pct=8.2%,30.32,15.75,95.25,108.5,28.883,26.99,52.0,276.0,310.0,74.485,8.2,3.325,54.725,56.5,4.486,5.52,0.564,15.636,15.945,0.862,0.72,0.178,29.554,29.629,0.214,wave4-chaining-20260526-173208.csv,1.01,0.5,81.0,81.0,0.816,0.0,0.0,28.28,28.28,0.0
wave4-dense-mtp-ng-k4v,dense,3,medium,,,mtp-ng-k4v,4,draft_n=27.9%;draft_n_accepted=18.0%,17.97,23.25,114.25,114.5,20.532,27.93,95.25,341.75,338.5,95.455,2.59,1.4,56.3,56.35,1.458,3.76,0.579,15.903,15.814,0.598,0.39,0.077,29.756,29.762,0.115,wave4-chaining-20260526-173208.csv,1.41,2.0,82.0,82.0,1.155,0.0,0.0,28.28,28.28,0.0
wave4-moe-mtp,moe,2,medium,,,mtp,4,draft_n=13.3%;draft_n_accepted=11.5%,11.52,8.0,75.0,73.0,8.641,13.33,16.5,165.5,157.0,22.053,2.37,0.825,47.625,47.15,1.13,2.64,1.659,53.153,52.734,1.403,0.57,0.72,94.069,94.007,0.538,wave4-chaining-20260526-173208.csv,2.35,1.75,72.75,72.5,1.708,0.0,0.0,32.76,32.76,0.0
wave4-moe-mtp-ng,moe,2,medium,,,mtp-ng,4,predicted_tps=10.1%;draft_n=28.8%;draft_n_accepted=23.5%,23.46,28.0,81.5,80.0,19.122,28.85,109.5,282.5,285.0,81.492,2.88,1.375,50.975,50.4,1.466,10.05,2.914,48.621,50.107,4.887,0.89,0.534,93.782,93.483,0.833,wave4-chaining-20260526-173208.csv,2.99,2.75,74.25,74.0,2.217,0.0,0.0,32.83,32.83,0.0
wave4-moe-mtp-ng-k4v,moe,2,medium,,,mtp-ng-k4v,4,draft_n=19.6%;draft_n_accepted=23.4%,23.42,32.5,99.5,95.5,23.302,19.63,43.0,272.0,273.0,53.392,4.99,3.55,51.05,51.25,2.549,2.1,1.084,51.961,51.63,1.09,0.84,0.753,92.458,92.656,0.781,wave4-chaining-20260526-173208.csv,1.29,1.25,74.25,74.5,0.957,0.0,0.0,32.83,32.83,0.0
