cell_id,model,n_max,workload,run,elapsed_ms,prompt_ms,predicted_ms,prompt_tps,predicted_tps,prompt_n,predicted_n,draft_n,draft_n_accepted,mtp_pct,vram_peak_gb,temp_max_c,thermal_flag
wave2-moe-n2-wlcreative,moe,2,creative,4,7175,42.584,7118.784,93.93199323689647,56.18937166797026,4,400,395,200,50.0,32.77,76,false
wave2-moe-n2-wlcreative,moe,2,creative,5,6600,43.319,6542.491,92.33823495463884,61.13879254858738,4,400,363,217,54.2,32.77,75,false
wave2-moe-n2-wldialog,moe,2,dialog,1,8405,784.548,7556.541,805.5593794133692,52.9342724402607,632,400,420,188,47.0,32.77,75,false
wave2-moe-n2-wldialog,moe,2,dialog,2,7251,42.833,7194.873,93.3859407466206,55.59514393096306,4,400,399,199,49.8,32.77,76,false
wave2-moe-n2-wldialog,moe,2,dialog,3,7443,43.044,7386.247,92.92816652727443,54.154701298237114,4,400,410,193,48.2,32.77,75,false
wave2-moe-n2-wldialog,moe,2,dialog,4,7193,42.893,7135.746,93.25530972419742,56.05580691913642,4,400,394,201,50.2,32.77,76,false
wave2-moe-n2-wldialog,moe,2,dialog,5,7431,42.565,7375.138,93.97392223657936,54.23627327380179,4,400,408,194,48.5,32.77,75,false
wave2-dense-n3-wlcode,dense,3,code,1,19622,2818.755,16788.955,286.29660967341965,23.82518745210765,807,400,365,277,69.2,28.14,85,false
wave2-dense-n3-wlcode,dense,3,code,2,18283,135.569,18134.008,29.505270378921438,22.058002841953083,4,400,394,267,66.8,28.14,83,false
wave2-dense-n3-wlcode,dense,3,code,3,16521,135.143,16372.281,29.59827738025647,24.431537670285525,4,400,357,280,70.0,28.14,83,false
wave2-dense-n3-wlcode,dense,3,code,4,16922,135.339,16772.267,29.55541270439415,23.84889293737096,4,400,364,277,69.2,28.14,83,false
wave2-dense-n3-wlcode,dense,3,code,5,17201,135.08,17051.432,29.61208172934557,23.45844032336991,4,400,371,275,68.8,28.14,84,false
wave2-dense-n3-wlstructured,dense,3,structured,1,24619,2040.464,22458.298,281.7986497188875,17.810788689329886,575,400,489,235,58.8,28.14,84,false
wave2-dense-n3-wlstructured,dense,3,structured,2,21501,135.042,21351.688,29.62041438959731,18.733881836414994,4,400,465,243,60.8,28.14,84,false
wave2-dense-n3-wlstructured,dense,3,structured,3,23547,134.765,23398.123,29.681297072682078,17.095388377948094,4,400,509,228,57.0,28.14,83,false
wave2-dense-n3-wlstructured,dense,3,structured,4,23548,134.422,23399.085,29.757033818868937,17.09468554005424,4,400,510,228,57.0,28.14,84,false
wave2-dense-n3-wlstructured,dense,3,structured,5,22743,134.941,22595.139,29.642584536945776,17.70292273926706,4,400,494,234,58.5,28.14,84,false
wave2-dense-n3-wltechnical,dense,3,technical,1,28767,2360.65,26289.707,292.71598924025164,15.215080183282378,691,400,574,207,51.7,28.14,85,false
wave2-dense-n3-wltechnical,dense,3,technical,2,25078,134.244,24929.456,29.796489973481123,16.045275917773736,4,400,544,217,54.2,28.14,86,true
wave2-dense-n3-wltechnical,dense,3,technical,3,26184,134.997,26035.179,29.63028808047586,15.363827535044026,4,400,568,209,52.2,28.14,86,true
wave2-dense-n3-wltechnical,dense,3,technical,4,24133,135.029,23983.493,29.62326611320531,16.678137750827204,4,400,523,224,56.0,28.14,85,false
wave2-dense-n3-wltechnical,dense,3,technical,5,23829,134.097,23680.439,29.829153523195895,16.891578741424514,4,400,513,226,56.5,28.14,85,false
wave2-dense-n3-wlcreative,dense,3,creative,1,26103,2796.459,23187.923,286.4336648597387,17.250359163259255,801,400,507,230,57.5,28.14,86,true
wave2-dense-n3-wlcreative,dense,3,creative,2,24394,135.947,24243.021,29.423231112124576,16.49959384187309,4,400,527,222,55.5,28.14,85,false
wave2-dense-n3-wlcreative,dense,3,creative,3,23444,135.822,23293.184,29.450309964512375,17.172405455604522,4,400,504,229,57.2,28.14,85,false
wave2-dense-n3-wlcreative,dense,3,creative,4,25627,136.059,25476.561,29.399010723289162,15.700706229541733,4,400,550,214,53.5,28.14,85,false
wave2-dense-n3-wlcreative,dense,3,creative,5,24529,136.593,24376.847,29.284077514953186,16.409013027812826,4,400,527,222,55.5,28.14,85,false
wave2-dense-n3-wldialog,dense,3,dialog,1,26625,2138.857,24362.946,295.48492489212697,16.418375675913744,632,400,527,222,55.5,28.14,85,false
wave2-dense-n3-wldialog,dense,3,dialog,2,25195,134.931,25046.272,29.6447814067931,15.97044063084518,4,400,545,217,54.2,28.14,85,false
wave2-dense-n3-wldialog,dense,3,dialog,3,24805,135.271,24655.698,29.57027005049124,16.2234303810827,4,400,537,219,54.8,28.14,84,false
wave2-dense-n3-wldialog,dense,3,dialog,4,25083,134.858,24933.171,29.660828426937965,16.042885198998555,4,400,545,217,54.2,28.14,84,false
wave2-dense-n3-wldialog,dense,3,dialog,5,23307,135.486,23157.871,29.523345585521753,17.272744977290873,4,400,507,230,57.5,28.14,85,false
